experiment,output_dir,status,n_metrics_files,n_eval_files,n_ckpt_files,max_epoch,max_step,best_val_auc_causal,best_val_auc_full,best_val_auc_spurious,best_val_auc_spurious_linear,last_train_loss,last_train_loss_task,last_train_loss_cls,last_train_loss_adv,last_train_loss_domain,last_train_loss_ladv,last_train_loss_vae,best_metrics_file,best_ckpt_by_name,best_ckpt_val_auc_causal_by_name,eval_paths,metrics_paths
outputs_A15_e2e,outputs_A15_e2e,train_only,1,0,2,2,12119,0.9999663829803467,,,,0.5899389982223511,0.014222584664821625,,,,0.5618284940719604,,outputs_A15_e2e/logs/version_1/metrics.csv,outputs_A15_e2e/ckpts/model-epoch=02-val_auc_causal=1.0000.ckpt,1.0,,outputs_A15_e2e/logs/version_1/metrics.csv
outputs_A16_e2e,outputs_A16_e2e,train_only,1,0,2,2,12119,0.9994894862174988,,,,0.8018693923950195,0.035443264991045,,,,0.5602648854255676,,outputs_A16_e2e/logs/version_0/metrics.csv,outputs_A16_e2e/ckpts/model-epoch=01-val_auc_causal=0.9995.ckpt,0.9995,,outputs_A16_e2e/logs/version_0/metrics.csv
outputs_A17_e2e,outputs_A17_e2e,train_only,1,0,2,2,12119,0.9995278716087341,,,,1.3000372648239136,0.027775835245847702,,,,0.5604301691055298,,outputs_A17_e2e/logs/version_2/metrics.csv,outputs_A17_e2e/ckpts/model-epoch=01-val_auc_causal=0.9995.ckpt,0.9995,,outputs_A17_e2e/logs/version_2/metrics.csv
outputs_A18_e2e,outputs_A18_e2e,train_only,1,0,2,1,8079,0.9928725361824036,,,,2.10496187210083,0.09429571032524109,,,,0.5624282956123352,,outputs_A18_e2e/logs/version_0/metrics.csv,outputs_A18_e2e/ckpts/model-epoch=01-val_auc_causal=0.9929.ckpt,0.9929,,outputs_A18_e2e/logs/version_0/metrics.csv
outputs_A19_e2e,outputs_A19_e2e,train_only,1,0,2,1,8079,0.4452362656593323,,,,2.6273515224456787,0.5619670152664185,,,,0.5624449253082275,,outputs_A19_e2e/logs/version_0/metrics.csv,outputs_A19_e2e/ckpts/model-epoch=01-val_auc_causal=0.4452.ckpt,0.4452,,outputs_A19_e2e/logs/version_0/metrics.csv
outputs_A1_e2e_dadv,outputs_A1_e2e_dadv,train_only,4,0,8,29,60839,0.9999808073043823,,,,6.437889575958252,,0.005119570065289736,0.5609230995178223,0.2744627594947815,,0.0,outputs_A1_e2e_dadv/logs/version_3/metrics.csv,outputs_A1_e2e_dadv/ckpts/model-epoch=06-val_auc_causal=1.0000.ckpt,1.0,,outputs_A1_e2e_dadv/logs/version_0/metrics.csv;outputs_A1_e2e_dadv/logs/version_1/metrics.csv;outputs_A1_e2e_dadv/logs/version_2/metrics.csv;outputs_A1_e2e_dadv/logs/version_3/metrics.csv
outputs_A1_seed42,outputs_A1_seed42,train_only,1,0,1,91,735999,0.9983190894126892,0.998356819152832,0.5200920104980469,0.5466753840446472,6.146448612213135,,0.004671235103160143,0.6141704320907593,0.0,,,outputs_A1_seed42/logs/lightning_logs/version_0/metrics.csv,,,,outputs_A1_seed42/logs/lightning_logs/version_0/metrics.csv
outputs_A1_seed43,outputs_A1_seed43,train_only,1,0,1,99,799999,0.997676432132721,0.9981656074523926,0.5096365213394165,0.5284730792045593,6.129978656768799,,0.0010253548389300704,0.6128897070884705,0.0,,,outputs_A1_seed43/logs/lightning_logs/version_0/metrics.csv,,,,outputs_A1_seed43/logs/lightning_logs/version_0/metrics.csv
outputs_A1_seed44,outputs_A1_seed44,train_only,1,0,1,94,759999,0.9985454678535461,0.9979652166366577,0.5147207975387573,0.573676347732544,6.143288612365723,,0.0034158015623688698,0.6139719486236572,0.0,,,outputs_A1_seed44/logs/lightning_logs/version_0/metrics.csv,,,,outputs_A1_seed44/logs/lightning_logs/version_0/metrics.csv
outputs_A2,outputs_A2,train_only,2,0,1,99,799999,0.9984270930290222,0.9984270930290222,0.5128448009490967,0.5632553100585938,6.129300117492676,,8.344643309676769e-10,0.61292964220047,0.0,,,outputs_A2/logs/lightning_logs/version_0/metrics.csv,,,,outputs_A2/logs/lightning_logs/version_0/metrics.csv;outputs_A2/logs/lightning_logs/version_1/metrics.csv
outputs_A20_e2e,outputs_A20_e2e,train_only,1,0,2,1,8079,0.5,,,,2.511397123336792,0.5622395873069763,,,,0.5627029538154602,,outputs_A20_e2e/logs/version_0/metrics.csv,outputs_A20_e2e/ckpts/model-epoch=01-val_auc_causal=0.5000.ckpt,0.5,,outputs_A20_e2e/logs/version_0/metrics.csv
outputs_A21_e2e,outputs_A21_e2e,train_only,1,0,2,0,4039,0.5,,,,20.859180450439453,0.5692188143730164,,,,0.5635752081871033,,outputs_A21_e2e/logs/version_0/metrics.csv,outputs_A21_e2e/ckpts/model-epoch=00-val_auc_causal=0.5000.ckpt,0.5,,outputs_A21_e2e/logs/version_0/metrics.csv
outputs_A22_e2e,outputs_A22_e2e,train_only,1,0,2,0,4039,0.4997044801712036,,,,20.286502838134766,0.5660450458526611,,,,0.5619762539863586,,outputs_A22_e2e/logs/version_0/metrics.csv,outputs_A22_e2e/ckpts/model-epoch=00-val_auc_causal=0.4997.ckpt,0.4997,,outputs_A22_e2e/logs/version_0/metrics.csv
outputs_A23_e2e,outputs_A23_e2e,empty,0,0,0,,,,,,,,,,,,,,,,,,
outputs_A24_e2e,outputs_A24_e2e,train_only,1,0,2,1,8079,0.5188204646110535,,,,25.38699722290039,0.561159610748291,,,,0.5613064765930176,,outputs_A24_e2e/logs/version_0/metrics.csv,outputs_A24_e2e/ckpts/model-epoch=00-val_auc_causal=0.5188.ckpt,0.5188,,outputs_A24_e2e/logs/version_0/metrics.csv
outputs_A25_e2e,outputs_A25_e2e,train_only,1,0,2,0,4039,0.503082811832428,,,,20.061256408691406,0.5676947832107544,,,,0.5632309913635254,,outputs_A25_e2e/logs/version_0/metrics.csv,outputs_A25_e2e/ckpts/model-epoch=00-val_auc_causal=0.5031.ckpt,0.5031,,outputs_A25_e2e/logs/version_0/metrics.csv
outputs_A26_e2e,outputs_A26_e2e,train_only,1,0,2,6,28279,0.9999520182609558,,,,1.9606879949569702,0.00956209097057581,,,,0.5608503818511963,,outputs_A26_e2e/logs/version_0/metrics.csv,outputs_A26_e2e/ckpts/model-epoch=06-val_auc_causal=1.0000.ckpt,1.0,,outputs_A26_e2e/logs/version_0/metrics.csv
